,tce_period,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_model_snr,tce_model_chisq,tce_robstat,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
361,18.8274,0.028694694,31.326586,89.61,0.2119,4.622,0.1348,993.0,0.4810936,0.1337348,0.3693684,-0.2377624,27.73,2641.0,28.9,562.4,158.5,2.693,0.1353,633.0,5687.0,4.54,-0.12,0.86,7.882,26.18,0.7356,35.31,1.059,0.1149,6.7162207342e-142,7.258854,-0.02967629,1.034722
362,8.83242,0.007589408,31.800318,89.87,0.07399,2.132,0.01615,68.28,0.278014,0.879524,-0.645884,0.176988,8.081,2589.0,9.595,1426.0,288.4,0.9383,0.08114,999.0,6060.0,4.29,-0.4,1.133,6.821,7.791,3.949,10.46,1.037,0.4004,7.7615785132e-13,7.759092,-0.05823237,1.10955
363,13.2226,0.018293701,10.355876,84.85,0.9304,4.037,0.4868,268.3,0.363455,0.5780124,-0.2336696,0.0030384,11.48,3055.0,12.99,694.7,158.9,1.719,0.1077,740.0,5933.0,4.55,-0.28,0.861,7.235,11.91,0.06596,17.53,0.9633,0.2704,6.247648532e-31,7.282296,-0.01747325,1.03695
364,2.3922,0.0057240875,1.0943619,34.65,0.9003,7.486,0.2196,28.84,0.2443864,1.111959,-1.076138,0.375359,6.56,30630.0,21.51,16440.0,5166.0,0.8895,0.03729,1850.0,6796.0,4.21,-0.38,1.424,3.544,7.836,0.09871,2.234,0.8372,1.278,2.2295196521e-07,10.67497,0.6376248,1.426127
365,1.10611,0.0060674227,2.3074676,83.65,0.2552,3.564,0.02298,42.53,0.2443864,1.111959,-1.076138,0.375359,12.16,20740.0,15.54,27770.0,3751.0,0.9428,0.0223,2400.0,6796.0,4.21,-0.38,1.424,3.894,9.673,0.1847,1.91,1.257,0.8713,1.3323084409e-10,10.72738,0.4405089,1.461699
366,0.578045,0.0038209966,1.0491931,35.14,0.858,2.193,0.03131,13.48,0.233768,1.0706272,-0.9569948,0.3197908,13.59,34350.0,11.58,44030.0,4843.0,0.64,0.01375,2980.0,6388.0,4.08,-0.46,1.535,7.033,9.553,0.00711,4.711,1.422,0.5364,4.2352350074e-16,8.369047,0.1789268,1.164838
367,11.8233,0.013925397,8.5937328,85.56,0.6652,8.043,0.196,207.2,0.4946052,0.0348008,0.5308344,-0.3064888,12.38,7439.0,14.23,895.9,221.8,1.225,0.09752,705.0,5559.0,4.57,-0.18,0.806,5.196,11.63,1.055,12.82,1.065,0.2232,7.0198588625e-28,7.449701,-0.2320357,1.09005
368,90.1249,0.058699881,38.779711,88.83,0.7885,12.54,1.695,3385.0,0.4061364,0.6277112,-0.448726,0.1169808,50.14,1501.0,100.8,343.6,116.0,7.687,0.4237,478.0,6444.0,4.38,0.07,1.2,21.21,50.1,0.1164,69.4,1.001,0.06292,7.968197362e-288,8.702867,-1.315441,1.418948
369,459.269,0.03143964,1007.9926,89.97,0.6154,2.881,0.1388,1084.0,0.5117716,-0.102166,0.7485528,-0.3913418,5.081,75.75,10.83,67.5,3.618,2.546,1.092,194.0,5335.0,4.61,-0.26,0.742,12.97,8.761,0.0,13.11,0.5799,0.4659,6.2904434026e-10,10.71638,-3.923187,2.075433
370,4.98775,0.016757394,21.149349,89.3,0.2599,1.771,0.03126,333.3,0.5250582,0.719925,-0.5892992,0.164734,10.31,3663.0,10.45,2516.0,408.8,0.7314,0.04286,486.0,3606.0,4.86,-0.2,0.4,9.609,9.583,0.2812,12.4,1.076,0.3896,7.6795904001e-17,8.174911,-0.01276855,1.16255
371,255.92,0.017576721,136.58138,89.73,0.6385,11.34,0.3269,331.3,0.3442032,0.7269096,-0.5025704,0.1261924,8.474,207.0,10.78,2.367,4.029,1.951,0.8097,309.0,6244.0,4.46,-0.18,1.017,10.45,8.531,0.0,11.43,0.9933,0.6052,6.9036792696e-14,7.882364,-0.2723574,1.189927
372,0.65781,0.0014066421,1.0488083,30.04,0.9079,2.024,0.01608,1.722,0.4812972,0.265312,-0.0566548,-0.035066,2.03,33840.0,15.95,40230.0,4088.0,0.503,0.01885,4790.0,8241.0,3.72,-0.04,3.277,13.15,13.3,1.166e-06,5.898,0.1526,0.422,8.175576667e-29,8.568688,0.3240833,1.171389
373,1.41664,0.0098423883,1.0111018,23.0,0.9307,4.194,0.2881,80.78,0.3236742,0.964828,-0.9633954,0.3426724,9.637,33690.0,15.44,45970.0,4071.0,2.203,0.02824,2610.0,6935.0,3.99,-0.14,2.051,5.122,10.91,0.1652,1.515,0.883,1.063,6.2936238606e-15,9.84708,-1.337785,1.589054
374,1.41676,0.0092551094,1.706344,65.6,0.705,4.581,0.08278,88.69,0.3236742,0.964828,-0.9633954,0.3426724,11.31,24550.0,15.19,36660.0,4496.0,2.071,0.02824,2610.0,6935.0,3.99,-0.14,2.051,3.952,11.66,1.904e-08,2.317,0.9706,1.054,1.4582285071e-16,9.848527,-1.336794,1.589173
375,4.29894,0.018040219,6.1796226,81.37,0.9271,2.235,0.2559,251.7,0.5828616,-0.2240694,0.8240692,-0.4067278,20.31,5536.0,19.95,2435.0,453.9,1.809,0.05025,1040.0,5518.0,4.47,0.06,0.919,6.471,17.52,2.574,23.21,1.159,0.1296,1.1943235366e-59,7.615687,0.0418731,1.076137
376,9.31395,0.012980657,68.922316,89.75,0.3,0.9989,0.01405,194.8,0.4262712,0.4245616,-0.0790968,-0.0505132,7.997,1750.0,7.624,1222.0,158.4,1.378,0.08821,884.0,6032.0,4.49,-0.06,0.973,5.866,7.304,0.003512,9.123,1.095,0.4853,3.012043905e-11,7.867142,-0.05154849,1.124342
377,4.53703,0.023433208,10.751946,85.39,0.8643,1.767,0.1502,466.8,0.6461262,-0.6408068,1.3786815,-0.5645778,15.88,4158.0,15.78,22020.0,798.5,1.823,0.04875,812.0,4812.0,4.61,-0.04,0.713,31.86,15.52,1.396,17.87,1.023,0.2416,1.2078994115e-45,7.636039,-0.1942044,1.111931
378,0.977284,0.01294172,4.6902888,86.34,0.2993,1.54,0.02159,207.4,0.6461262,-0.6408068,1.3786815,-0.5645778,13.82,15830.0,15.25,88680.0,1798.0,1.007,0.01752,1350.0,4812.0,4.61,-0.04,0.713,4.459,13.09,0.2102,16.24,1.055,0.2148,1.643567437e-37,6.939618,-0.6517165,1.07818
379,21.8536,0.021195328,22.615054,87.71,0.9048,3.496,0.3674,377.1,0.441612,0.302172,0.130732,-0.142368,22.2,1736.0,22.49,465.2,89.13,2.026,0.1515,618.0,5830.0,4.54,-0.14,0.876,6.251,20.45,0.1895,25.19,1.085,0.1557,2.9893131561e-84,7.430265,0.01814128,1.052603
380,1.38581,0.0023459377,1.4465342,61.06,0.7,5.25,0.02404,5.712,0.4480428,0.4726378,-0.334245,0.08114,9.609,23900.0,12.74,20570.0,3190.0,0.9131,0.031,3650.0,7710.0,3.65,-0.04,3.567,5.484,8.356,2.687,13.26,1.15,0.9444,1.5023488578e-22,5.001729,-3.853251,1.258677
381,2.53663,0.0042042034,1.585543,56.82,0.8677,6.178,0.1034,16.31,0.38892,0.836844,-0.8695648,0.3137806,6.405,25330.0,9.043,5225.0,792.4,0.8533,0.04206,2100.0,7143.0,4.09,-0.02,1.86,6.607,8.198,0.7347,2.661,0.7814,0.8559,8.5923785944e-16,7.245801,-0.05387698,1.036588
382,3.29038,0.11025855,14.136472,88.03,0.4856,1.775,0.2243,13870.0,0.4293,0.779,-0.4878,0.0943,220.3,1384.0,225.4,9039.0,219.0,2.274,0.02378,400.0,3212.0,5.1,0.0,0.189,43.49,247.9,0.0001151,348.6,0.8887,0.01271,0.0,8.205281,0.1079448,1.150115
383,1.35734,0.0027913583,1.0011962,15.35,0.9655,2.806,0.111,5.864,0.465084,0.430352,-0.280564,0.057572,5.542,32940.0,9.801,13200.0,1726.0,1.083,0.03077,3660.0,7725.0,3.66,0.08,3.556,4.122,8.378,0.3118,3.346,0.6616,0.3373,7.115508905e-19,6.3551,-1.749832,1.151417
384,0.984451,0.0025804646,1.128859,37.03,0.9012,2.927,0.03967,5.858,0.4834132,0.2523412,-0.0411556,-0.0411284,9.431,31900.0,11.26,40680.0,3083.0,0.9205,0.02465,4200.0,8267.0,3.72,-0.06,3.269,8.001,8.454,0.001574,3.391,1.116,0.5661,1.5567202558e-15,7.531891,-0.1462486,1.090534
385,0.879166,0.0071862659,3.3672068,88.27,0.1017,1.999,0.01441,58.3,0.5289088,0.1912268,-0.181698,0.0530112,6.682,23430.0,9.37,13840.0,1736.0,1.547,0.02252,4080.0,9883.0,4.14,-0.5,1.973,6.014,8.989,5.778e-07,2.792,0.7434,0.8475,8.7173709899e-27,5.218225,-2.131208,1.044111
